"VP","VN","FP","FN"
"15","29","0","1"
"12","30","3","0"
"15","29","0","1"
"15","29","0","1"
"14","29","1","1"
"12","28","3","2"
"14","30","1","0"
"15","29","0","1"
"15","29","0","1"
"15","30","0","0"
"14","30","1","0"
"14","30","1","0"
"15","29","0","1"
"13","30","2","0"
"15","29","0","1"
"15","29","0","1"
"15","30","0","0"
"13","30","2","0"
"15","30","0","0"
"15","29","0","1"
"14","30","1","0"
"15","30","0","0"
"15","28","0","2"
"15","28","0","2"
"14","28","1","2"
"14","29","1","1"
"15","27","0","3"
"13","30","2","0"
"14","30","1","0"
"15","30","0","0"
"13","30","2","0"
"14","30","1","0"
"14","30","1","0"
"15","28","0","2"
"13","30","2","0"
"15","29","0","1"
"15","28","0","2"
"15","26","0","4"
"15","30","0","0"
"14","30","1","0"
"14","30","1","0"
"14","29","1","1"
"13","30","2","0"
"15","27","0","3"
"12","30","3","0"
"15","29","0","1"
"14","30","1","0"
"15","30","0","0"
"14","29","1","1"
"15","29","0","1"
"12","30","3","0"
"13","29","2","1"
"15","28","0","2"
"15","29","0","1"
"15","28","0","2"
"14","30","1","0"
"14","29","1","1"
"14","29","1","1"
"14","30","1","0"
"15","27","0","3"
"15","28","0","2"
"13","29","2","1"
"14","30","1","0"
"15","29","0","1"
"14","30","1","0"
"15","28","0","2"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"13","30","2","0"
"14","30","1","0"
"13","30","2","0"
"14","29","1","1"
"14","29","1","1"
"15","28","0","2"
"14","30","1","0"
"15","27","0","3"
"15","29","0","1"
"13","30","2","0"
"15","29","0","1"
"14","29","1","1"
"14","29","1","1"
"15","29","0","1"
"13","30","2","0"
"14","30","1","0"
"15","28","0","2"
"14","30","1","0"
"15","29","0","1"
"14","30","1","0"
"15","30","0","0"
"15","29","0","1"
"15","29","0","1"
"15","29","0","1"
"15","30","0","0"
"14","30","1","0"
"14","29","1","1"
"15","30","0","0"
"13","30","2","0"
"15","29","0","1"
"14","30","1","0"
"15","28","0","2"
"14","29","1","1"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"11","30","4","0"
"12","30","3","0"
"15","29","0","1"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","28","0","2"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"11","29","4","1"
"14","29","1","1"
"15","29","0","1"
"14","29","1","1"
"14","28","1","2"
"12","30","3","0"
"14","29","1","1"
"13","29","2","1"
"14","30","1","0"
"15","28","0","2"
"12","30","3","0"
"15","30","0","0"
"15","29","0","1"
"14","30","1","0"
"15","29","0","1"
"11","30","4","0"
"15","30","0","0"
"10","30","5","0"
"14","28","1","2"
"15","29","0","1"
"14","30","1","0"
"13","30","2","0"
"15","29","0","1"
"15","29","0","1"
"11","30","4","0"
"13","29","2","1"
"15","28","0","2"
"14","30","1","0"
"13","30","2","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"13","30","2","0"
"15","29","0","1"
"14","29","1","1"
"13","29","2","1"
"12","29","3","1"
"15","29","0","1"
"13","30","2","0"
"15","30","0","0"
"15","28","0","2"
"15","29","0","1"
"15","30","0","0"
"13","29","2","1"
"14","30","1","0"
"14","30","1","0"
"15","29","0","1"
"15","29","0","1"
"12","30","3","0"
"13","30","2","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"13","30","2","0"
"14","30","1","0"
"15","28","0","2"
"15","30","0","0"
"15","28","0","2"
"13","30","2","0"
"12","30","3","0"
"13","30","2","0"
"15","28","0","2"
"14","30","1","0"
"15","30","0","0"
"15","29","0","1"
"14","30","1","0"
"14","30","1","0"
"14","29","1","1"
"15","30","0","0"
"14","30","1","0"
"15","28","0","2"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","28","0","2"
"15","30","0","0"
"14","30","1","0"
"15","27","0","3"
"14","30","1","0"
"14","30","1","0"
"15","29","0","1"
"15","30","0","0"
"15","30","0","0"
"15","29","0","1"
"14","29","1","1"
"14","30","1","0"
"14","30","1","0"
"13","30","2","0"
"14","30","1","0"
"15","30","0","0"
"14","29","1","1"
"14","30","1","0"
"13","30","2","0"
"14","30","1","0"
"14","30","1","0"
"14","29","1","1"
"15","30","0","0"
"14","29","1","1"
"14","30","1","0"
"15","29","0","1"
"13","30","2","0"
"13","30","2","0"
"15","30","0","0"
"15","29","0","1"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"12","30","3","0"
"15","30","0","0"
"14","30","1","0"
"14","30","1","0"
"14","30","1","0"
"15","29","0","1"
"15","30","0","0"
"13","30","2","0"
"14","30","1","0"
"14","29","1","1"
"13","30","2","0"
"14","30","1","0"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","29","0","1"
"15","30","0","0"
"15","30","0","0"
"13","30","2","0"
"14","29","1","1"
"15","29","0","1"
"14","30","1","0"
"15","28","0","2"
"15","29","0","1"
"13","30","2","0"
"15","30","0","0"
"13","30","2","0"
"13","30","2","0"
"15","29","0","1"
"15","29","0","1"
"14","29","1","1"
"15","29","0","1"
"14","30","1","0"
"15","29","0","1"
"14","30","1","0"
"15","28","0","2"
"14","29","1","1"
"14","30","1","0"
"15","28","0","2"
"15","29","0","1"
"14","30","1","0"
"13","30","2","0"
"13","30","2","0"
"15","30","0","0"
"15","30","0","0"
"15","28","0","2"
"15","30","0","0"
"14","30","1","0"
"15","28","0","2"
"15","29","0","1"
"14","30","1","0"
"14","30","1","0"
"15","29","0","1"
"14","28","1","2"
"15","30","0","0"
"15","30","0","0"
"15","28","0","2"
"14","30","1","0"
"14","30","1","0"
"13","29","2","1"
"14","30","1","0"
"15","30","0","0"
"15","29","0","1"
"14","29","1","1"
"14","30","1","0"
"15","28","0","2"
"15","30","0","0"
"15","30","0","0"
"15","29","0","1"
"14","30","1","0"
"12","30","3","0"
"13","30","2","0"
"15","29","0","1"
"15","29","0","1"
"14","30","1","0"
"14","30","1","0"
"14","30","1","0"
"14","30","1","0"
"14","30","1","0"
"14","30","1","0"
"15","29","0","1"
"15","30","0","0"
"14","30","1","0"
"14","30","1","0"
"13","30","2","0"
"12","30","3","0"
"15","28","0","2"
"13","30","2","0"
"15","30","0","0"
"13","30","2","0"
"14","29","1","1"
"14","30","1","0"
"15","28","0","2"
"15","29","0","1"
"15","29","0","1"
"15","29","0","1"
"13","30","2","0"
"15","28","0","2"
"15","30","0","0"
"15","30","0","0"
"14","29","1","1"
"15","29","0","1"
"15","29","0","1"
"14","30","1","0"
"14","30","1","0"
"15","29","0","1"
"15","29","0","1"
"14","30","1","0"
"15","29","0","1"
"15","29","0","1"
"13","30","2","0"
"15","29","0","1"
"14","29","1","1"
"15","28","0","2"
"13","30","2","0"
"15","30","0","0"
"15","29","0","1"
"14","30","1","0"
"11","30","4","0"
"15","30","0","0"
"12","29","3","1"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","29","0","1"
"14","30","1","0"
"15","30","0","0"
"15","29","0","1"
"14","30","1","0"
"13","30","2","0"
"13","29","2","1"
"15","26","0","4"
"14","29","1","1"
"15","30","0","0"
"12","30","3","0"
"13","29","2","1"
"15","29","0","1"
"14","30","1","0"
"14","30","1","0"
"14","29","1","1"
"15","29","0","1"
"14","30","1","0"
"14","29","1","1"
"13","30","2","0"
"13","30","2","0"
"15","30","0","0"
"13","30","2","0"
"15","28","0","2"
"14","29","1","1"
"15","28","0","2"
"15","28","0","2"
"15","30","0","0"
"13","30","2","0"
"14","29","1","1"
"13","30","2","0"
"14","29","1","1"
"15","29","0","1"
"15","30","0","0"
"13","29","2","1"
"15","30","0","0"
"14","30","1","0"
"13","29","2","1"
"14","30","1","0"
"14","30","1","0"
"13","30","2","0"
"14","30","1","0"
"15","28","0","2"
"12","30","3","0"
"15","30","0","0"
"13","30","2","0"
"14","28","1","2"
"13","30","2","0"
"14","30","1","0"
"11","30","4","0"
"15","30","0","0"
"15","29","0","1"
"15","28","0","2"
"13","29","2","1"
"15","29","0","1"
"15","30","0","0"
"15","28","0","2"
"15","29","0","1"
"14","30","1","0"
"13","30","2","0"
"13","30","2","0"
"13","30","2","0"
"14","30","1","0"
"14","30","1","0"
"15","30","0","0"
"13","29","2","1"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","29","0","1"
"12","30","3","0"
"15","30","0","0"
"15","30","0","0"
"12","30","3","0"
"15","30","0","0"
"15","29","0","1"
"15","30","0","0"
"12","30","3","0"
"14","28","1","2"
"15","29","0","1"
"15","29","0","1"
"15","29","0","1"
"13","30","2","0"
"15","30","0","0"
"14","29","1","1"
"13","30","2","0"
"14","30","1","0"
"13","28","2","2"
"15","29","0","1"
"13","30","2","0"
"13","30","2","0"
"13","30","2","0"
"13","30","2","0"
"14","30","1","0"
"14","29","1","1"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","27","0","3"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","29","0","1"
"15","28","0","2"
"15","28","0","2"
"15","30","0","0"
"14","28","1","2"
"14","29","1","1"
"14","30","1","0"
"15","28","0","2"
"15","30","0","0"
"15","30","0","0"
"13","30","2","0"
"15","28","0","2"
"15","29","0","1"
"15","28","0","2"
"14","30","1","0"
"15","29","0","1"
"14","30","1","0"
"15","28","0","2"
"15","30","0","0"
"15","29","0","1"
"14","30","1","0"
"12","30","3","0"
"15","30","0","0"
"13","29","2","1"
"14","30","1","0"
"15","29","0","1"
"14","29","1","1"
"13","30","2","0"
"13","30","2","0"
"15","29","0","1"
"14","30","1","0"
"14","29","1","1"
"14","29","1","1"
"14","28","1","2"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"13","30","2","0"
"15","29","0","1"
"13","30","2","0"
"13","29","2","1"
"15","30","0","0"
"15","30","0","0"
"15","28","0","2"
"14","29","1","1"
"14","30","1","0"
"15","29","0","1"
"11","30","4","0"
"12","30","3","0"
"14","29","1","1"
"15","29","0","1"
"15","29","0","1"
"15","30","0","0"
"15","30","0","0"
"13","30","2","0"
"15","30","0","0"
"14","29","1","1"
"15","29","0","1"
"13","30","2","0"
"14","30","1","0"
"13","30","2","0"
"13","29","2","1"
"15","29","0","1"
"14","30","1","0"
"15","30","0","0"
"15","29","0","1"
"15","29","0","1"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"14","28","1","2"
"15","29","0","1"
"14","30","1","0"
"14","30","1","0"
"14","29","1","1"
"15","27","0","3"
"14","30","1","0"
"13","30","2","0"
"14","29","1","1"
"13","29","2","1"
"14","30","1","0"
"13","29","2","1"
"14","30","1","0"
"15","30","0","0"
"15","29","0","1"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"14","29","1","1"
"15","29","0","1"
"12","30","3","0"
"14","30","1","0"
"13","30","2","0"
"14","30","1","0"
"15","30","0","0"
"15","29","0","1"
"14","30","1","0"
"15","29","0","1"
"15","29","0","1"
"14","29","1","1"
"14","29","1","1"
"15","30","0","0"
"14","30","1","0"
"14","30","1","0"
"13","29","2","1"
"15","29","0","1"
"13","30","2","0"
"15","30","0","0"
"15","29","0","1"
"14","28","1","2"
"15","29","0","1"
"15","28","0","2"
"13","30","2","0"
"15","29","0","1"
"14","29","1","1"
"14","30","1","0"
"15","30","0","0"
"15","28","0","2"
"14","30","1","0"
"13","29","2","1"
"14","29","1","1"
"15","30","0","0"
"15","29","0","1"
"14","29","1","1"
"15","29","0","1"
"14","30","1","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"14","30","1","0"
"15","28","0","2"
"14","29","1","1"
"15","29","0","1"
"14","30","1","0"
"15","29","0","1"
"15","29","0","1"
"15","29","0","1"
"14","30","1","0"
"14","30","1","0"
"14","30","1","0"
"15","29","0","1"
"14","29","1","1"
"12","29","3","1"
"14","30","1","0"
"13","30","2","0"
"13","30","2","0"
"13","30","2","0"
"14","30","1","0"
"15","29","0","1"
"13","30","2","0"
"12","30","3","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"15","28","0","2"
"15","29","0","1"
"15","29","0","1"
"14","30","1","0"
"15","28","0","2"
"13","30","2","0"
"14","29","1","1"
"15","30","0","0"
"14","30","1","0"
"14","30","1","0"
"14","30","1","0"
"13","30","2","0"
"15","29","0","1"
"15","30","0","0"
"14","29","1","1"
"15","27","0","3"
"14","29","1","1"
"15","30","0","0"
"14","30","1","0"
"14","30","1","0"
"14","29","1","1"
"15","30","0","0"
"14","29","1","1"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"14","30","1","0"
"14","30","1","0"
"13","30","2","0"
"14","30","1","0"
"13","30","2","0"
"14","29","1","1"
"15","30","0","0"
"13","30","2","0"
"12","30","3","0"
"15","30","0","0"
"15","28","0","2"
"15","30","0","0"
"13","29","2","1"
"15","30","0","0"
"15","30","0","0"
"15","29","0","1"
"15","30","0","0"
"15","28","0","2"
"15","30","0","0"
"14","29","1","1"
"15","30","0","0"
"15","27","0","3"
"15","30","0","0"
"12","30","3","0"
"15","29","0","1"
"14","29","1","1"
"13","30","2","0"
"14","30","1","0"
"15","30","0","0"
"15","29","0","1"
"13","30","2","0"
"14","30","1","0"
"13","30","2","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"14","29","1","1"
"13","30","2","0"
"15","30","0","0"
"15","29","0","1"
"15","28","0","2"
"14","30","1","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","29","0","1"
"14","30","1","0"
"15","30","0","0"
"12","30","3","0"
"14","30","1","0"
"15","28","0","2"
"13","30","2","0"
"15","28","0","2"
"15","30","0","0"
"13","30","2","0"
"15","29","0","1"
"13","30","2","0"
"14","30","1","0"
"14","30","1","0"
"14","28","1","2"
"12","30","3","0"
"12","30","3","0"
"15","29","0","1"
"15","29","0","1"
"14","29","1","1"
"14","30","1","0"
"15","30","0","0"
"15","30","0","0"
"15","30","0","0"
"14","30","1","0"
"13","30","2","0"
"15","28","0","2"
"15","29","0","1"
"15","28","0","2"
"15","30","0","0"
"12","29","3","1"
"15","29","0","1"
"13","30","2","0"
"15","29","0","1"
"14","29","1","1"
"15","29","0","1"
"13","30","2","0"
"13","30","2","0"
"13","30","2","0"
"13","30","2","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"14","28","1","2"
"15","27","0","3"
"15","26","0","4"
"11","30","4","0"
"14","29","1","1"
"15","30","0","0"
"11","30","4","0"
"12","30","3","0"
"13","30","2","0"
"14","29","1","1"
"14","30","1","0"
"12","30","3","0"
"14","30","1","0"
"13","30","2","0"
"15","28","0","2"
"13","29","2","1"
"15","28","0","2"
"13","30","2","0"
"13","30","2","0"
"14","30","1","0"
"12","30","3","0"
"14","30","1","0"
"15","29","0","1"
"14","30","1","0"
"13","30","2","0"
"15","28","0","2"
"15","30","0","0"
"15","30","0","0"
"13","29","2","1"
"15","29","0","1"
"14","30","1","0"
"15","30","0","0"
"15","29","0","1"
"15","29","0","1"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"14","28","1","2"
"14","29","1","1"
"15","29","0","1"
"14","29","1","1"
"13","30","2","0"
"13","30","2","0"
"15","30","0","0"
"14","30","1","0"
"15","30","0","0"
"15","28","0","2"
"15","29","0","1"
"14","28","1","2"
"15","28","0","2"
"13","30","2","0"
"15","29","0","1"
"14","30","1","0"
"12","30","3","0"
"15","29","0","1"
"15","29","0","1"
"13","30","2","0"
"15","30","0","0"
"12","30","3","0"
"14","30","1","0"
"15","29","0","1"
"15","29","0","1"
"13","30","2","0"
"15","29","0","1"
"15","29","0","1"
"14","30","1","0"
"14","29","1","1"
"15","28","0","2"
"14","30","1","0"
"14","29","1","1"
"14","29","1","1"
"14","30","1","0"
"13","29","2","1"
"15","29","0","1"
"12","30","3","0"
"14","28","1","2"
"13","30","2","0"
"14","29","1","1"
"15","29","0","1"
"14","30","1","0"
"13","30","2","0"
"15","30","0","0"
"14","30","1","0"
"14","30","1","0"
"15","29","0","1"
"13","29","2","1"
"15","29","0","1"
"15","29","0","1"
"14","30","1","0"
"14","30","1","0"
"15","29","0","1"
"15","30","0","0"
"13","29","2","1"
"15","30","0","0"
"13","30","2","0"
"13","29","2","1"
"14","30","1","0"
"14","30","1","0"
"14","30","1","0"
"15","30","0","0"
"14","30","1","0"
"15","29","0","1"
"14","30","1","0"
"15","30","0","0"
"15","29","0","1"
"14","29","1","1"
"15","29","0","1"
"13","30","2","0"
"14","30","1","0"
"13","30","2","0"
"15","28","0","2"
